user_id,timestamp,user_role,service_type,department,access_method,device_type,login_frequency,session_duration,time_since_last_login,location_distance_km,access_count_7d,failed_attempts_24h,session_requests,login_location,usual_location,device_id,usual_device_id,is_off_hours,location_mismatch,device_mismatch,risk_level
U01654,2025-02-02T01:23:00,citizen,benefits_application,general,mobile_app,mobile,13.0,306.98,9.76,0.0,12,0,30,Chennai,Chennai,DEV29881,DEV29881,1,0,0,0
U02074,2025-01-21T10:18:00,gov_employee,tax_filing,education,mobile_app,browser,13.0,89.32,17.63,0.0,10,0,21,Kolkata,Kolkata,DEV35762,DEV35762,0,0,0,0
U00186,2025-01-23T02:37:00,gov_employee,general_info,general,mobile_app,browser,11.0,76.64,13.39,0.0,11,0,25,Delhi,Delhi,DEV97505,DEV97505,1,0,0,1
U01058,2025-04-15T04:07:00,citizen,general_info,education,mobile_app,mobile,17.0,,84.86,1739.56,16,2,21,Bangalore,Delhi,DEV30407,DEV24334,1,1,1,2
U01368,2025-05-04T18:14:00,citizen,general_info,health,web_portal,browser,10.0,118.32,24.13,0.0,17,0,26,Delhi,Delhi,DEV37281,DEV37281,0,0,0,0
U01794,2025-06-23T01:35:00,gov_employee,general_info,health,mobile_app,desktop_client,11.0,407.39,35.46,0.0,15,0,30,Chennai,Chennai,DEV76255,DEV76255,1,0,0,1
U00216,2025-05-06T12:33:00,citizen,tax_filing,health,mobile_app,browser,14.0,98.55,22.16,0.0,10,0,26,Bangalore,Bangalore,DEV88477,DEV88477,0,0,0,0
U00538,2025-04-25T19:53:00,gov_employee,general_info,finance,web_portal,browser,12.0,167.94,19.97,0.0,9,0,30,Pune,Pune,DEV86373,DEV86373,0,0,0,0
U02298,2025-06-21T09:05:00,citizen,benefits_application,health,web_portal,desktop_client,7.0,104.26,88.68,0.0,15,0,24,Ahmedabad,Ahmedabad,DEV71562,DEV71562,0,0,0,0
U00143,2025-04-17T23:21:00,gov_employee,identity_verification,education,web_portal,tablet,18.0,162.63,8.13,0.0,12,2,22,Chennai,Chennai,DEV74147,DEV90219,1,0,1,2
U00562,2025-06-06T02:51:00,citizen,tax_filing,general,mobile_app,browser,10.0,144.6,180.98,0.0,13,0,27,Mumbai,Mumbai,DEV60979,DEV60979,1,0,0,1
U02236,2025-05-15T14:50:00,gov_employee,general_info,health,web_portal,mobile,10.0,202.07,37.19,0.0,14,0,28,Pune,Pune,DEV32211,DEV32211,0,0,0,0
U00362,2025-04-15T01:39:00,gov_employee,general_info,finance,web_portal,browser,7.0,162.6,30.36,0.0,20,0,27,Hyderabad,Hyderabad,DEV76672,DEV76672,1,0,0,1
U01653,2025-04-11T12:35:00,admin,general_info,general,web_portal,desktop_client,12.0,321.67,81.53,0.0,13,1,21,Kolkata,Kolkata,DEV38690,DEV38690,0,0,0,0
U00765,2025-03-23T02:31:00,gov_employee,benefits_application,finance,web_portal,tablet,17.0,95.79,69.47,0.0,14,2,31,Hyderabad,Hyderabad,DEV28951,DEV28951,1,0,0,1
U01134,2025-06-03T10:07:00,citizen,general_info,finance,web_portal,mobile,16.0,207.62,59.82,0.0,11,0,32,Bangalore,Bangalore,DEV88388,DEV88388,0,0,0,0
U00906,2025-04-26T14:59:00,gov_employee,benefits_application,education,mobile_app,mobile,13.0,98.51,17.11,1618.63,14,1,37,Ahmedabad,Kolkata,DEV35711,DEV35711,0,1,0,1
U01243,2025-01-10T17:47:00,citizen,general_info,finance,web_portal,tablet,6.0,248.53,1.79,0.0,15,0,22,Kolkata,Kolkata,DEV96486,DEV96486,0,0,0,0
U01655,2025-03-23T11:18:00,citizen,general_info,general,mobile_app,browser,12.0,246.78,2.34,0.0,16,0,29,Chennai,Chennai,DEV88462,DEV88462,0,0,0,0
U00410,2025-02-18T00:16:00,gov_employee,license_renewal,health,web_portal,browser,17.0,264.69,64.24,0.0,18,1,31,Pune,Pune,DEV11560,DEV11560,1,0,0,1
U01079,2025-03-05T22:22:00,admin,identity_verification,health,web_portal,browser,14.0,403.84,3.58,0.0,12,0,30,Mumbai,Mumbai,DEV34519,DEV34519,1,0,0,1
U02277,2025-01-09T08:58:00,citizen,license_renewal,finance,web_portal,browser,11.0,394.91,9.15,0.0,13,2,26,Delhi,Delhi,DEV64181,DEV87214,0,0,1,0
U00784,2025-06-10T21:31:00,gov_employee,license_renewal,education,web_portal,tablet,18.0,240.95,38.85,0.0,17,0,21,Ahmedabad,Ahmedabad,DEV68653,DEV68653,0,0,0,0
U01082,2025-04-16T05:12:00,gov_employee,license_renewal,defense,web_portal,mobile,9.0,198.79,69.76,0.0,21,0,29,Pune,Pune,DEV88653,DEV88653,1,0,0,1
U00704,2025-01-10T04:41:00,citizen,tax_filing,general,web_portal,browser,14.0,314.47,82.35,0.0,16,1,25,Mumbai,Mumbai,DEV83459,DEV21190,1,0,1,2
U00749,2025-01-07T10:21:00,citizen,general_info,education,mobile_app,browser,12.0,,119.0,1255.54,8,0,19,Hyderabad,Delhi,DEV13601,DEV47226,0,1,1,2
U01186,2025-02-02T09:29:00,citizen,tax_filing,general,web_portal,browser,11.0,404.52,44.06,0.0,14,0,30,Delhi,Delhi,DEV32150,DEV52222,0,0,1,0
U01311,2025-03-26T09:20:00,citizen,tax_filing,education,web_portal,tablet,10.0,354.46,0.88,0.0,13,0,24,Ahmedabad,Ahmedabad,DEV98422,DEV98422,0,0,0,0
U01015,2025-01-03T14:52:00,citizen,benefits_application,general,mobile_app,browser,9.0,239.92,95.55,0.0,12,0,33,Bangalore,Bangalore,DEV10717,DEV10717,0,0,0,0
U00484,2025-02-09T02:41:00,citizen,benefits_application,health,web_portal,browser,9.0,317.26,21.06,1033.45,17,1,31,Mumbai,Chennai,DEV91571,DEV91571,1,1,0,2
U00059,2025-02-25T07:51:00,citizen,tax_filing,health,web_portal,tablet,16.0,44.16,10.37,0.0,12,1,31,Delhi,Delhi,DEV85639,DEV17400,0,0,1,0
U00304,2025-01-25T03:15:00,gov_employee,benefits_application,finance,web_portal,browser,16.0,184.27,1.19,0.0,15,0,21,Chennai,Chennai,DEV11524,DEV11524,1,0,0,1
U01538,2025-05-04T23:19:00,gov_employee,identity_verification,finance,mobile_app,desktop_client,13.0,374.09,55.35,0.0,17,0,27,Kolkata,Kolkata,DEV73866,DEV66207,1,0,1,2
U02131,2025-03-22T15:45:00,gov_employee,identity_verification,general,web_portal,browser,14.0,297.42,4.88,0.0,12,0,20,Delhi,Delhi,DEV33977,DEV33977,0,0,0,0
U01899,2025-03-18T14:58:00,admin,tax_filing,general,web_portal,mobile,10.0,66.04,1.66,0.0,17,1,25,Delhi,Delhi,DEV19107,DEV19107,0,0,0,0
U00871,2025-03-23T12:03:00,gov_employee,general_info,general,web_portal,browser,5.0,332.03,19.38,0.0,18,0,20,Kolkata,Kolkata,DEV73069,DEV73069,0,0,0,0
U00373,2025-05-10T10:29:00,gov_employee,general_info,health,mobile_app,tablet,7.0,119.93,2.01,0.0,13,1,33,Pune,Pune,DEV29235,DEV37082,0,0,1,0
U02346,2025-06-07T07:06:00,gov_employee,general_info,health,web_portal,browser,15.0,466.94,20.26,0.0,10,0,16,Bangalore,Bangalore,DEV27118,DEV27118,0,0,0,0
U00815,2025-02-11T14:29:00,citizen,benefits_application,defense,web_portal,browser,9.0,,46.09,0.0,14,1,25,Hyderabad,Hyderabad,DEV54760,DEV54760,0,0,0,0
U01535,2025-03-17T18:13:00,citizen,tax_filing,general,web_portal,mobile,12.0,146.44,55.61,0.0,11,0,21,Chennai,Chennai,DEV57691,DEV57691,0,0,0,0
U01649,2025-03-03T05:41:00,admin,tax_filing,defense,web_portal,mobile,12.0,209.43,120.06,0.0,21,0,22,Kolkata,Kolkata,DEV23382,DEV23382,1,0,0,1
U00932,2025-06-13T23:42:00,gov_employee,general_info,general,mobile_app,browser,10.0,318.53,32.12,0.0,14,2,16,Kolkata,Kolkata,DEV51762,DEV21889,1,0,1,1
U02014,2025-01-28T13:54:00,citizen,benefits_application,finance,web_portal,desktop_client,9.0,181.98,64.31,0.0,15,2,25,Pune,Pune,DEV42624,DEV42624,0,0,0,0
U01766,2025-05-24T12:42:00,citizen,tax_filing,finance,web_portal,tablet,19.0,268.04,42.49,0.0,16,0,18,Bangalore,Bangalore,DEV35438,DEV38647,0,0,1,1
U02156,2025-04-22T09:27:00,gov_employee,general_info,education,mobile_app,browser,16.0,251.39,86.96,0.0,17,0,21,Kolkata,Kolkata,DEV17310,DEV17310,0,0,0,0
U00623,2025-04-11T05:19:00,admin,general_info,health,web_portal,tablet,16.0,247.66,47.84,0.0,18,1,33,Mumbai,Mumbai,DEV25892,DEV25892,1,0,0,1
U00846,2025-06-15T11:11:00,citizen,tax_filing,education,mobile_app,browser,14.0,30.72,2.96,0.0,12,0,23,Delhi,Delhi,DEV12204,DEV12204,0,0,0,0
U01667,2025-04-17T11:32:00,citizen,tax_filing,education,web_portal,browser,12.0,332.8,26.65,0.0,12,1,26,Delhi,Delhi,DEV31120,DEV31120,0,0,0,0
U01350,2025-02-10T01:38:00,citizen,general_info,education,web_portal,browser,10.0,385.06,24.46,0.0,9,0,28,Kolkata,Kolkata,DEV65798,DEV65798,1,0,0,0
U00866,2025-04-15T13:18:00,citizen,tax_filing,education,web_portal,browser,11.0,432.16,57.85,0.0,12,0,24,Chennai,Chennai,DEV51316,DEV51316,0,0,0,0
U01263,2025-05-19T01:06:00,citizen,benefits_application,general,web_portal,browser,9.0,218.72,168.16,0.0,14,2,27,Ahmedabad,Ahmedabad,DEV25029,DEV25029,1,0,0,1
U02057,2025-05-19T13:02:00,citizen,license_renewal,health,web_portal,browser,11.0,70.76,49.6,0.0,19,0,22,Bangalore,Bangalore,DEV73755,DEV73755,0,0,0,0
U02085,2025-03-13T14:49:00,gov_employee,general_info,general,web_portal,browser,7.0,72.6,44.53,0.0,15,0,31,Delhi,Delhi,DEV81918,DEV81918,0,0,0,0
